Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Pharmacodia ID,Launched Drugs
IL31RA,IL31RA,Inflammation and Autoimmunity,F2(-/-),No,1310451640410575040,0
IL33,IL33,Inflammation and Autoimmunity,F2(-/-),No,17049336557942916698,0
IL34,"IL34,IL-34,C16orf77","Oncology,Inflammation and Autoimmunity,Others",F1(+/-),No,,
IL36R,"IL-36R,IL1RL2",Inflammation and Autoimmunity,F2(-/-),No,69953000040696916967,0
IL3RA,"IL3RA,IL3R,CD123","Oncology,Others,Inflammation and Autoimmunity",F1(+/-),No,83545398982601916199,1
IL4,IL4,Inflammation and Autoimmunity,F1(+/-),No,42983332049452916554,0
IL4RA,"IL4RA,IL4R",Inflammation and Autoimmunity,In vitro,No,05191137118987916544,1
IL5,IL5,Inflammation and Autoimmunity,F1(+/-),No,29461854685250916363,2
IL5R,"IL5R,CD125",Inflammation and Autoimmunity,F1(+/-),No,02158733726351916942,1
IL6,"IL-6,BSF-2,IFNB2","Oncology,Inflammation and Autoimmunity",F2(-/-),No,34841917747295916806,5
IL6R,IL-6RA,Inflammation and Autoimmunity,F0,No,21598965952541916934,3
IL7RA,IL7RA,"Inflammation and Autoimmunity,Oncology,Metabolism",F0,No,43797324723715916953,0
IL9,IL9,"Infectious Diseases,Inflammation and Autoimmunity,Oncology",F1(+/-),No,76518613518206916854,0
ILDR2,"ILDR2,C1orf32,dJ782G3.1",Oncology,F0,No,81250318573104916378,0
ITGA7,ITGA7,Oncology,F1(+/-),No,,
ITGAL,"ITGAL,CD11A,LFA-1",Inflammation and Autoimmunity,F1(+/-),No,26974522861770916621,2
ITGB6,"ITGB6,AI1H","Oncology,Inflammation and Autoimmunity",Immunization,No,1310451640410575042,0
ITGB7,ITGB7,Inflammation and Autoimmunity,F1(+/-),No,1310451640410575070,0
JAM-A,JAM-A,"Oncology,Cardiovascular",F0,No,,
KCNA3,"KCNA3,HGK5,PCN3",Inflammation and Autoimmunity,F1(+/-),No,35534835410254916311,0
KLKB1,"KLKB1,PKK,KLK3","Inflammation and Autoimmunity,Others,Cardiovascular,Orthopaedic Disorders,Infectious Diseases,Metabolism",F1(+/-),No,36396781272719916198,0
KREMEN2,"KREMEN2,KRM2",Oncology,F1(+/-),No,,
L1CAM,"L1CAM,SPG1,CD171",Oncology,F0,No,1310451640410575044,0
LAG-3,LAG-3,Oncology,F2(-/-),No,13590665151072916995,0
LAMA4,"LAMA4,LAMA3,CMD1JJ",Oncology,F1(+/-),No,,
LEPR,"LEPR,OBR,CD295","Metabolism,Infectious Diseases,Neuroscience",F0,No,01419095333417916110,0
LGALS3,"LGALS3,L31,GAL3",Oncology,F0,No,29395335620494916980,0
LGALS3BP,"LGALS3BP,M2BP,gp90",Oncology,F0,No,,
LGALS9,"LGALS9,HUAT,LGALS9A","Oncology,Infectious Diseases",F0,No,,
LGMN,"LGMN,AEP,LGMN1",Oncology,F0,No,,
LGR6,"LGR6,GPCR,VTS20631",Oncology,F1(+/-),No,,
LIF,"CDF, DIA, HILDA, MLPLI",Oncology,F0,No,77985483390350916833,0
LIGHT,"LIGHT,CD258,HVEML",Inflammation and Autoimmunity,F1(+/-),No,31645456493265916792,0
LIGHTR,LIGHTR,Inflammation and Autoimmunity,F0,No,,
LINGO-1,LINGO-1,"Neuroscience,Inflammation and Autoimmunity,Ophthalmology",F0,No,55964799397868916279,0
LIV-1,LIV-1,Oncology,F0,No,25984551399914916903,0
LRIG1,LRIG1,Oncology,F0,No,,
LRP5,"LRP5,HBM,LR3","Oncology,Ophthalmology",F0,No,,
LRRC15,"LRRC15,LIB",Oncology,F0,No,00286026827920916430,0
LRRC33,"LRRC33,NRROS",Oncology,F1(+/-),No,,
LRRN1,"LRRN1,NLRR-1,FIGLER3",Oncology,F1(+/-),No,,
LYPD3,LYPD3,Oncology,F1(+/-),No,22845727579676916919,0
MADCAM1,MADCAM1,Inflammation and Autoimmunity,F1(+/-),No,66836462839454916145,0
MARCO,"MARCO,SR-A6,SCARA2",Oncology,F0,No,,
MASP2,"MASP2,sMAP,MAP19","Others,Ophthalmology,Cardiovascular,Metabolism,Urological Diseases",F1(+/-),Yes,55206430756717916218,0
MBP,MBP,Inflammation and Autoimmunity,F0,No,75238998091461916872,0
M-CSF,M-CSF,"Oncology,Inflammation and Autoimmunity",F0,No,09238649229821916117,0
MCSP,"MCSP,NG2,MCSP",Oncology,F1(+/-),No,1310451640410575048,0
MDK,"MDK,ARAP,NEGF2","Oncology,Inflammation and Autoimmunity",F2(-/-),No,02011191198432916912,0
MDR-1,"ABCB1,CD243,GP170",Oncology,F1(+/-),No,77042272957146916606,6
MERTK,"MER,RP38,MERTK","Oncology,Inflammation and Autoimmunity",F0,No,88621787568658916316,0
MFGE8,"MFGE8,BA46,HMFG,","Oncology,Neuroscience,Ophthalmology",F1(+/-),No,,
MIF,"MIF,GIF, GLIF","Oncology,Inflammation and Autoimmunity",F2(-/-),No,30751819539021916561,1
MLC,"MLC,LVM,MLC","Cardiovascular,Oncology",F0,No,,
MMP-2,MMP-2,Inflammation and Autoimmunity,F0,No,84170532869546916423,1
MMP-9,MMP-9,"Oncology,Inflammation and Autoimmunity,Infectious Diseases,Others",F0,No,21637559468862916238,1
MRP14,"MRP14,P14,CAGB",Metabolism,F1(+/-),No,29257467672100916785,0
MSLN,"MSLN,CAK1,MPF",Oncology,Antibody screening,No,41162214347632916358,0
MUC1,"MUC1,CD227,EMA",Oncology,Antibody screening,Yes,22899326610400916253,0
MUC16,"MUC-16,CA-125",Oncology,F1(+/-),No,30557258460640916196,0
MUC18,MUC18,"Oncology,Inflammation and Autoimmunity,Neuroscience,Ophthalmology",F0,No,44341300980003916941,0
Nectin-4,"Nectin-4,NECTIN4",Oncology,F1(+/-),No,46764371590695916252,1
NKG2A,"KLRC1, NKG2A",Oncology,Immunization,No,90536468979644916581,0
NKG2D,"NKG2D,KLRK1",Oncology,F2(-/-),No,1310451640410574919,0
NKp46,"NKp46,NCR1",Oncology,F2(-/-),No,1310451640410575050,0
Notch3,Notch3,Oncology,F0,No,38921526126169916746,0
Notch4,"Notch4,INT3","Oncology,Inflammation and Autoimmunity",F0,No,,
NPY,PYY4,Others,F0,No,,
NTB-A,NTB-A,Oncology,F0,No,01504022829543916685,0
OLFML3,"OLFML3,OLF44,HNOEL-iso",Oncology,F1(+/-),No,,
OSCAR,"OSCAR,PIGR3, PIgR-3",Inflammation and Autoimmunity,F1(+/-),No,,
OSM,OSM,Inflammation and Autoimmunity,F1(+/-),No,78680331462859916290,0
OSMR,"OSMR,IL-31R-beta","Oncology,Inflammation and Autoimmunity",F1(+/-),No,,
OX40,"OX40,CD134,TNFRSF4",Oncology,F2(-/-),No,39967709229869916242,0
OX40L,OX40L,"Inflammation and Autoimmunity,Oncology,Metabolism,Cardiovascular",F2(-/-),No,04169750574622916879,0
P2X7,P2X7,Oncology,F0,No,87808894260546916465,0
PAR2,"PAR2, GPR11","Others,Inflammation and Autoimmunity,Neuroscience,Oncology,Metabolism",F0,No,16075739412450916543,0
PCSK9,PCSK9,"Metabolism,Cardiovascular,Oncology",F1(+/-),No,12733715526825916728,2
PD-1,PD1,Oncology,In vivo efficacy,No,61032525534389916396,8
PD-L1,PD-L1,Oncology,Immunization,No,38111845132564916747,3
PD-L2,"PD-L2,CD273,PDCD1LG2",Oncology,F2(-/-),No,1310451640410575052,0
PGF,PGF,"Oncology,Inflammation and Autoimmunity",F0,No,23645542959569916341,2
PGLYRP1,"PGLYRP1,PGRPS,TNFSF3L",Inflammation and Autoimmunity,F1(+/-),No,,
PLA2-Ib,PLA2-Ib,Infectious Diseases,F0,No,,
POSTN,"POSTN,PN,OSF2","Oncology,Cardiovascular,Inflammation and Autoimmunity",F0,No,,
PRLR,"PRLR,HPRL,MFAB","Oncology,Reproductive System Diseases",F1(+/-),No,61057443668665916268,0
PROK2,"PROK2,PK2,KAL4",Oncology,F0,No,,
PSCA,"PSCA,PRO232","Oncology,Others",F1(+/-),No,79955849275690916310,0
PSMA,"PSMA,FGCP,FOLH1","Oncology,Neuroscience",F1(+/-),No,06027288113026916542,2
PVRIG,"PVRIG,CD112R,C7orf15",Oncology,F1(+/-),No,84351555527387916507,0
PYY,"PYY1, PYY-I",Oncology,F0,No,,
QSOX1,"Q6, QSCN6","Oncology,Infectious Diseases",F0,No,,
RAGE,"RAGE, SCARJ1","Neuroscience,Inflammation and Autoimmunity,Oncology,Others,Urological Diseases,Cardiovascular,Metabolism,Infectious Diseases",F0,No,80171082550426916293,0
RANKL,"RANKL,OPGL,TNFSF11","Orthopaedic Disorders,Metabolism,Oncology",F0,No,97242359437971916719,1
RETN,"RETN,ADSF,RSTN",Oncology,F1(+/-),No,,
ROBO4,"ROBO4,AOVD3,ECSM4",Ophthalmology,F1(+/-),No,1310451640410575054,0
SCG3,SGIII,"Metabolism,Oncology",F0,No,1345983138974663414,0
Sclerostin,SOST,Orthopaedic Disorders,F0,No,32296005354379916552,1
SELPLG,SELPLG,Inflammation and Autoimmunity,F2(-/-),No,79714985011981916982,0
SERPINF2,"SERPINF2,AAP,API","Oncology,Others,Cardiovascular",F1(+/-),No,60141904510228916184,0
SEZ6,SEZ6,Oncology,F0,No,,
SEZ6L2,"BSRPA, PSK-1",Oncology,F0,No,,
SFRP2,"SFRP2,SARP1,SDF-5",Oncology,F0,No,,
Siglec-10,Siglec-10,Oncology,Antibody screening,No,27554931889835916868,0
SIGLEC15,Siglec-15,Oncology,In vivo efficacy,Yes,14970618143896916646,0
SIRPA,SIRPA,Oncology,In vitro,No,,
SLAMF7,"SLAMF7,CD319,CRACC",Oncology,F1(+/-),No,22836338213386916922,1
SLC7A11,Slc7a11,Oncology,Immunization,No,66147303301116916890,0
SLPI,"SLPI,ALP,MPI",Oncology,F1(+/-),No,,
SPARC,"SPARC,ONT,BM-40","Oncology,Inflammation and Autoimmunity,Infectious Diseases,Ophthalmology,Cardiovascular,Orthopaedic Disorders",F1(+/-),No,,
SPP1,"SPP1,OPN,BNSP","Oncology,Inflammation and Autoimmunity",F1(+/-),No,19865102961534916994,0
SRB1,"SRB1,CLA1,CD36L1","Infectious Diseases,Inflammation and Autoimmunity",F1(+/-),No,38108783603079916857,0
SSTR2,SSTR2,Oncology,F1(+/-),No,74133949430368916666,5
ST2,"ST2,IL1RL1,IL33R",Inflammation and Autoimmunity,Antibody screening,No,67568222935333916663,0
STEAP1,"STEAP,PRSS24,STEAP1",Oncology,F2(-/-),No,78580917798396916493,0
TEM1,"TEM1,CD164L1",Oncology,F1(+/-),No,94712087009016916949,0
TEM7R,TEM7R,Oncology,F0,No,,
TFF1,"TFF1,pS2,BCEI",Oncology,F1(+/-),No,,
TGFA,TFGA,Oncology,F0,No,32358420248340916348,0
TGM2,TGM2,"Infectious Diseases,Inflammation and Autoimmunity",F0,No,42005763161498916999,0
TIGIT,"TIGIT,VSIG9,VSTM3",Oncology,F2(-/-),No,39619912108046916857,0
TIM3,"TIM3,CD366",Oncology,Antibody screening,No,23518951860670916323,0
TLR2,TLR2,"Inflammation and Autoimmunity,Infectious Diseases,Gastrointestinal,Oncology",F1(+/-),No,59411491036480916669,1
TLR3,"TLR3,CD283,IIAE2","Infectious Diseases,Inflammation and Autoimmunity",F0,No,26567826078845916755,1
TLR4,TLR4,"Inflammation and Autoimmunity,Infectious Diseases,Gastrointestinal",F1(+/-),No,33327892025973916260,1
TNC,"TNC,HXB,GMEM",Oncology,F0,No,14431346138653916680,0
TNF,"TNF,TNFA,TNFSF2","Inflammation and Autoimmunity,Oncology,Infectious Diseases",F1(+/-),No,57906774692304916129,49
TNFR2,TNFR2,Oncology,In vitro,Yes,1310451640410575056,0
TNFRSF1A,"TNFRSF1A,TNFAR,TNFR1","Infectious Diseases,Inflammation and Autoimmunity",F2(-/-),No,1310451640410574975,0
TNFRSF25,"TNFRSF25,DDR3,TRAMP","Oncology,Inflammation and Autoimmunity",F1(+/-),No,1310451640410574908,0
TNFSF15,"TNFSF15,TL1,VEGI",Inflammation and Autoimmunity,F0,No,11305322132083916293,0
TPBG,"TPBG,5T4,WAIF1",Oncology,F1(+/-),No,67418836212031916937,0
TREM1,"TREM1,CD354,TREM-1","Oncology,Inflammation and Autoimmunity",F1(+/-),No,12591927799219916688,0
TREM2,"TREM2,PLOSL2","Neuroscience,Oncology,Gastrointestinal,Inflammation and Autoimmunity,Infectious Diseases",F1(+/-),No,50924734092959916363,0
TROP2,"TROP2,EGP1,GA733-1",Oncology,F1(+/-),No,56832495721391916472,1
TSLP,TSLP,"Oncology,Inflammation and Autoimmunity",F2(-/-),No,61504603393555916655,0
TSLPR,"CRL2,TSLPR,CRLF2Y",Inflammation and Autoimmunity,F1(+/-),No,,
TSPAN8,"TSPAN8,CO-029,TM4SF3",Oncology,F0,No,,
UPA,UPA,"Oncology,Cardiovascular,Others,Inflammation and Autoimmunity",F1(+/-),No,44773610624882916847,2
UPAR,"CD87,UPAR,PLAUR",Oncology,F2(-/-),No,1310451640410575072,0
VISTA,"B7H5,PD-1H,VISTA",Oncology,F0,No,35344266512392916242,0
VLDLR,"VLDLR,CAMRQ1,CARMQ1","Inflammation and Autoimmunity,Cardiovascular",F1(+/-),No,,
GPR55,"GPR55,LPIR1","Neuroscience,Oncology,Metabolism",F0,No,,
HPX,HPX,Cardiovascular,F0,No,,
CD21,"CD21,C3DR,CVID7",Oncology,F0,No,,
FCER1,FCER1,Inflammation and Autoimmunity,F0,No,14967180498304916194,0
LTBR,LTBR,Oncology,F0,No,46139033657595916324,0
MMP-13,MMP-13,"Oncology,Inflammation and Autoimmunity,Orthopaedic Disorders",F0,No,35474347623823916763,0
PLA2G5,"PLA2G5,FRFB,GV-PLA2","Inflammation and Autoimmunity,Infectious Diseases",F0,No,91884578070853916302,0
SLC2A12,SLC2A12,Oncology,F0,No,,
STEAP2,"STEAP2,STMP,IPCA1",Oncology,F0,No,,
TIMP4,TIMP4,Oncology,F0,No,,
TMEFF1,"TMEFF1,TR-1,H7365",Oncology,F0,No,,
WNT16B,WNT16B,Oncology,F0,No,,
AQP3,"AQP3,GIL,AQP-3",Gastrointestinal,F0,No,,
FSTL3,"FSTL3,FLRG,FSRP",Metabolism,F0,No,,
GIP,GIP,Metabolism,F0,No,17132840652923916516,0
IAPP,"IAPP,DAP,IAP",Metabolism,F0,No,19109079520415916126,0
KLB,"KLB,BKL","Metabolism,Urological Diseases",F0,No,56558359531879916691,0
LCAT,LCAT,Metabolism,F0,No,13649793197718916888,0
LIPG,"LIPG,EDL,PRO719",Cardiovascular,F0,No,,
MMP-28,MMP-28,Oncology,F0,No,,
KLRG1,KLRG1,"Oncology,Inflammation and Autoimmunity",F0,No,,
GLP2R,GLP2R,"Inflammation and Autoimmunity,Gastrointestinal",F0,No,28838111480985916336,0
GIPR,GIPR,Metabolism,F0,No,53491315939773916182,0
GPR132,GPR132,Cardiovascular,F0,No,,
PRNP,"PRNP,CJD,CD230","Neuroscience,Oncology,Infectious Diseases,Others",F0,No,,
CFP,"CFP,BFD,PFC","Cardiovascular,Inflammation and Autoimmunity,Ophthalmology,Others",F0,No,,
ADDL,"ADDL,ADDL,CPSQ3",Neuroscience,F0,No,,
BMP9,"BMP9,HHT5,BMP-9","Others,Infectious Diseases,Gastrointestinal",F0,No,,
CADM3,CADM3,Neuroscience,F0,No,,
FVIII,"FVIII,AHF,F8B","Others,Cardiovascular",F0,No,54117439525650916328,0
FXI,"FXI,FXI,PTA","Others,Cardiovascular",F0,No,23609084483340916105,0
FXIIa,"FXIIa,HAF,HAE3",Cardiovascular,F0,No,17872103512338916619,0
LOX1,"LOX1,SLOX1,CLEC8A","Cardiovascular,Metabolism,Ophthalmology",F0,No,,
LRG1,"LRG1,LRG,HMFT1766",Ophthalmology,F0,No,,
LTBP4,"LTBP4,ARCL1C,LTBP4L,",Orthopaedic Disorders,F0,No,,
MAG,"MAG,GMA,SIGLEC4A","Neuroscience,Cardiovascular",F0,No,28594114331257916635,0
MAPT,"MAPT,TAU,MSTD","Neuroscience,Others",F0,No,41296846660797916340,0
MDL-1,MDL-1,Infectious Diseases,F0,No,,
MEPE,"MEPE,OF45",Others,F0,No,,
NGAL,"NGAL,p25,MSFI",Others,F0,No,,
PAQR7,PAQR7,Reproductive System Diseases,F0,No,,
FSHR,FSHR,Oncology,F0,No,35415352843701916267,0
EPHA10,EPHA10,Oncology,F0,No,,
AMIGO2,"AMIGO2,ALI1,DEGA",Oncology,F0,No,,
CLEC1A,"CLEC1A,CLEC1,CLEC-1",Oncology,F0,No,,
NTS,"NTS,NN,NTS1",Oncology,F0,No,69414597293739916922,0
TSPAN33,TSPAN33,"Inflammation and Autoimmunity,Oncology",F0,No,,
F2RL3,F2RL3,Cardiovascular,F0,No,46325054421702916679,0
HRH3,"HRH3,HH3R,GPCR97",Others,F0,No,08612959838345916813,0
WISP1,"WISP1c,WISP1i,WISP1tc","Orthopaedic Disorders,Inflammation and Autoimmunity,Oncology,Cardiovascular,Infectious Diseases",F0,No,,
Nectin-2,"CD112,HVEB,VRR2",Oncology,F0,No,,
C2,"CO2,ARMD14","Neuroscience,Inflammation and Autoimmunity,Cardiovascular",F0,No,,
FAM3D,"EF7,OIT1",Oncology,F0,No,,
LAMP5,"UNC-46,BADLAMP,BAD-LAMP",Oncology,F0,No,,
LY6H,NMLY6,Oncology,F0,No,,
KLK5,"KLK-L2,KLKL2,SCTE","Inflammation and Autoimmunity,Gastrointestinal",F0,No,,
LILRB2,"ILT4,LIR2,CD85D",Oncology,F0,No,1306110757150130294,0
MFAP5,"AAT9,MP25,MAGP2",Oncology,F0,No,,
MXRA8,ASP3,"Infectious Diseases,Inflammation and Autoimmunity",F0,No,,
PGE2,"PTGER2,EP2","Inflammation and Autoimmunity,Others",F0,No,73625349455522916625,0
PLD4,C14orf175,Inflammation and Autoimmunity,F0,No,,
PTN,"HARP,HBBM,HBNF",Oncology,F0,No,,
TYRO3,"BYK,Dtk,RSE",Oncology,F0,No,45613598848396916835,0
XCR1,"GPR5,CCXCR1",Inflammation and Autoimmunity,F0,No,,
ADCY5,"AC5,FDFM",Cardiovascular,F0,No,,
ANGPTL3,"ANL3,ANG-5,FHBL2","Cardiovascular,Metabolism",F0,No,46200564162061916969,0
APOA1,"HPALP2,apo(a)",Others,F0,No,80718901901990916139,0
APOE4,"AD2,LPG,APO-E,",Neuroscience,F0,No,86320959224673916489,0
APOH,"BG,B2G1,B2GP1",Cardiovascular,F0,No,,
CHRDL1,"CHL,MGC1,MGCN","Urological Diseases,Metabolism",F0,No,,
gpIb,"GP1BA,CD42B,BDPLT3",Cardiovascular,F0,No,,
IGHE,IgE,Inflammation and Autoimmunity,F0,No,,
JAM-L,"JAML,AMICA,CREA7-1",Others,F0,No,,
MFAP4,,Cardiovascular,F0,No,,
MSR1,"SRA,SR-A,CD204","Neuroscience,Cardiovascular,Infectious Diseases,Metabolism",F0,No,,
NMU,,Metabolism,F0,No,,
NOGOR,"NGR,NOGOR","Neuroscience,Cardiovascular",F0,No,,
PEDF,"SERPINF1,EPC-1,PIG35",Others,F0,No,23424980469451916363,0
ps20,"PS20,WFDC1",Infectious Diseases,F0,No,,
RGMc,"JH,HFE2,RGMC",Cardiovascular,F0,No,38975496250688916833,0
SARP2,"FRP,FRP1,FrzA",Orthopaedic Disorders,F0,No,,
SCN11A,"NaN,PN5,FEPS3",Others,F0,No,,
SEMA7A,"JMH,CD108,SEMAL",Cardiovascular,F0,No,,
TIMP2,"DDC8,CSC-21K",Urological Diseases,F0,No,,
TMPRSS6,"MT2,IRIDA",Others,F0,No,62185216523349916698,0
TRPA1,"FEPS,FEPS1,ANKTM1","Neuroscience,Others",F0,No,04372631433286916356,0
TRPM4,"EKVP6,LTrpC4,PFHB1B",Others,F0,No,65895290201672916446,0
TRPM8,"TRPP8,LTRPC6,trp-p8",Metabolism,F0,No,73439139937425916197,0
HTRA1,"ARMD7,CADASIL2,CARASIL",Oncology,F0,No,,
IL17C,"CX2,IL-17C","Inflammation and Autoimmunity,Oncology",F0,No,,
LTA,"LT,TNFB,TNFSF1","Inflammation and Autoimmunity,Infectious Diseases",F0,No,07340745167804916871,15
TWEAKR,"FN14,CD266,TNFRSF12A","Oncology,Inflammation and Autoimmunity,Others",F0,No,16732673662894916205,0
GFRAL,"GRAL,UNQ9356,C6orf144","Oncology,Others",F0,No,,
CD86,"CD28LG2,B70,CD86",Oncology,F0,No,45565885477456916481,2
CHI3L1,"GP39,ASRT7,GP-39","Oncology,Inflammation and Autoimmunity,Metabolism,Cardiovascular",F0,No,,
TM4SF1,"L6,M3S1,TAAL6",Oncology,F0,No,,
CD10,"NEP,CMT2T,MME","Oncology,Inflammation and Autoimmunity",F0,No,55306105777820916458,2
EPHA4,"EK8,SEK,TYRO1","Oncology,Neuroscience",F0,No,,
MUC5AC,"TBM,leB,MUC5",Oncology,F0,No,45591376950483916714,0
5HT3AR,"HTR3,5HT3R,HTR3A","Neuroscience,Gastrointestinal",F0,No,,
CD1D,"R3,CD1A,R3G1","Oncology,Inflammation and Autoimmunity",F0,No,28720966962433916962,0
EAG1,"EAG,ZLS1,KCNH1",Oncology,F0,No,,
FGL2,"T49,pT49","Oncology,Ophthalmology,Infectious Diseases",F0,No,,
SEMA3A,"HH16,COLL1,SEMA1","Oncology,Neuroscience,Metabolism,Inflammation and Autoimmunity,Others",F0,No,,
TRAIL,"TNFSF10,APO2L,CD253","Oncology,Neuroscience",F0,No,68988277447533916981,0
ADAM28,"MDCL,MDC-L,eMDCII",Oncology,F0,No,,
ADAMTS5,"ADMP-2,ADAMTS11,ADAM-TS 5","Orthopaedic Disorders,Inflammation and Autoimmunity",F0,No,02778257761085916899,0
ADGRE1,"EMR1,TM7LN3",Oncology,F0,No,,
ANPEP,"CD13,P150,PEPN",Oncology,F0,No,54378224344795916833,0
APCDD1,"HHS,HTS,B7323",Oncology,F0,No,,
APO-1,"APT1,CD95,FAS",Inflammation and Autoimmunity,F0,No,96230684167935916760,0
CD164,"DFNA66,MGC-24,MUC-24",Oncology,F0,No,,
CLDN2,,"Inflammation and Autoimmunity,Oncology",F0,No,,
CLEC7A,"BGR,CD369,CANDF4",Inflammation and Autoimmunity,F0,No,11591946658430916604,0
c-MPL,"MPL,TPOR,CD110","Oncology,Others",F0,No,89376084804108916299,0
CMTM6,"CKLFSF6,PRO2219",Oncology,F0,No,,
CXCL16,"SRPSOX,CXCLG16,SR-PSOX","Inflammation and Autoimmunity,Gastrointestinal",F0,No,,
DSG3,"PVA,CDHF6",Oncology,F0,No,,
GPC2,,Oncology,F0,No,,
GPNMB,"NMB,HGFIN,PLCA3",Oncology,F0,No,91221202171014916636,0
GPR87,"GPR95,FKSG78,KPG_002",Oncology,F0,No,,
IGFBP2,"IBP2,IGF-BP53",Oncology,F0,No,1316252729571549402,0
IGFBP7,"FSTL2,IBP-7,MAC25",Oncology,F0,No,,
IGSF11,"CT119,VSIG3,Igsf13",Oncology,F0,No,,
IL19,"MDA1,ZMDA1,IL-10C","Oncology,Inflammation and Autoimmunity",F0,No,,
KCNK9,"KT3.2,K2p9.1,TASK-3",Oncology,F0,No,93333863177283916695,0
MCEMP1,C19orf59,Oncology,F0,No,,
MMP-17,"MT4MMP,MTMMP4,MT4-MMP","Neuroscience,Oncology,Infectious Diseases",F0,No,,
MMP-8,"HNC,CLG1,PMNL-CL",Inflammation and Autoimmunity,F0,No,38157218113824916588,0
NAPSA,"KAP,NAP1,NAPA",Oncology,F0,No,,
PYK2,"PTK2B,PTK,CAKB",Oncology,F0,No,82713767464728916547,0
RNASE4,"RAB1,RNS4",Oncology,F0,No,,
SCUBE2,"CEGB1,CEGF1,CEGP1",Oncology,F0,No,,
SLC2A4,GLUT4,"Oncology,Metabolism",F0,No,08186775381770916991,0
TLR5,"SLE1,TIL3,MELIOS",Oncology,F0,No,90779545993859916782,0
TLR6,CD286,Inflammation and Autoimmunity,F0,No,04592021346778916464,0
ACTH,"LPH,POMC,ACTH","Metabolism,Urological Diseases",F0,No,,
AGS-8,"AGS8,FNDC1,MEL4B3",Oncology,F0,No,,
APLNR,"APJ,APJR,HG11",Ophthalmology,F0,No,96180086591024916116,0
BK2R,"B2R,BK2,BDKRB2",Metabolism,F0,No,50701753056902916737,0
C6,,Neuroscience,F0,No,60288402716907916985,0
CD41,"GT,CD41,ITGA2B",Cardiovascular,F0,No,,
CD42,"GPIX,CD42a",Cardiovascular,F0,No,,
CD180,"LY64,Ly78,RP105",Infectious Diseases,F0,No,,
ERFE,"CTRP15,FAM132B,C1QTNF15",Cardiovascular,F0,No,,
FEEL-1,"FEX1,FEEL-1,STAB1",Oncology,F0,No,70193149438149916232,0
FSHB,HH24,Reproductive System Diseases,F0,No,,
LEP,"OB,OBS,LEPD",Metabolism,F0,No,,
PLA2G7,"PAFAD,PAFAH,LP-PLA2",Cardiovascular,F0,No,89431626687318916556,0
SELENOP,"SELP,SEPP,SEPP1",Metabolism,F0,No,,
TMPRSS2,PRSS10,Infectious Diseases,F0,No,,
TPA,"TPA,T-PA",Cardiovascular,F0,No,,
TSPAN12,"EVR5,NET2,TM4SF12",Ophthalmology,F0,No,,
TTR,"CTS,ATTR,CTS1","Neuroscience,Others",F0,No,39354177446689916360,0
UTS2R,"UTR,UTR2,GPR14",Neuroscience,F0,No,11302570459655916169,0