Pharmacodia ID,Target,Type,Therapeutic Area,Development Phase,Exclusive Partership
64915430323214916176,4-1BB,,,,
1310451640410575009,ACE2,,,,
1310451640410575011,ADAM9,,,,
75961979824188916250,ADIPOR1,,,,
47253517339812916971,ALB,,,,
40796544885929916353,ALK,,,,
90521562439189916730,AMHR2,,,,
15621522008106916971,ANGPT2,,,,
1310451640410575013,ANTXR1,,,,
95062444234141916540,APRIL,,,,
78230464363844916301,AXL,,,,
37537348212294916131,BAFF,,,,
94238000764503916816,BCMA,,,,
18364549454371916638,BTLA,,,,
31670478083301916703,C1S,,,,
01784957511375916667,C5AR1,,,,
01244370588848916952,CAIX,,,,
27555996035783916271,CB1,,,,
56275489835055916966,CB2,,,,
40907795751650916158,CCL2,,,,
93911308973648916672,CCL20,,,,
08111791541898916898,CCL5,,,,
73396102262160916988,CCR2,,,,
61872389720407916814,CCR4,,,,
65098110261631916202,CCR5,,,,
1310451640410575015,CCR6,,,,
1310451640410575017,CCR7,,,,
30830199674784916418,CCR9,,,,
03258932679204916690,CD133,,,,
55701079333590916422,CD138,,,,
11940843243062916501,CD14,,,,
57697900903708916935,CD16A,,,,
76123926390403916981,CD2,,,,
69167746170650916458,CD20,,,,
77537355125232916510,CD200,,,,
86360205749459916687,CD22,,,,
1310451640410575019,CD226,,,,
1310451640410575021,CD24,,,,
15563742598470916601,CD26,,,,
65910194357446916947,CD30,,,,
68819975007252916926,CD33,,,,
02601101396589916393,CD37,,,,
25217404131691916667,CD38,,,,
07272802723843916997,CD39,,,,
62970374419843916863,CD40,,,,
30386034493737916478,CD40L,,,,
19367787448993916585,CD44,,,,
75968780273393916709,CD47,,,,
57486312350504916104,CD51,,,,
31236955043971916769,CD52,,,,
64191601945873916997,CD55,,,,
65508508795958916649,CD56,,,,
85032835843070916379,CD6,,,,
1310451640410575024,CD61,,,,
87246012261747916148,CD62E,,,,
68977677421825916266,CD70,,,,
00130394742121916446,CD73,,,,
89264038391022916327,CD74,,,,
84967672751457916932,CD79b,,,,
10395993102836916461,CD89,,,,
1310451640410575026,CD96,,,,
1310451640410575028,CDH17,,,,
95610343298992916513,CDH3,,,,
36815686346884916639,CEACAM5,,,,
86637295733945916146,CEACAM6,,,,
08048810814188916426,Claudin 18.2,,,,
91619997677283916180,CLEC12A,,,,
92929137379010916612,CRTH2,,,,
27953483272985916403,CSF1R,,,,
31578053968180916274,CX3CR1,,,,
40159407503969916221,CXCL10,,,,
96193414205365916874,CXCR2,,,,
64973103667172916313,CXCR3,,,,
17756226822117916860,CXCR5,,,,
38804715200151916797,DR5,,,,
71804658338521916886,EGFR,,,,
09703215307519916974,EPHA2,,,,
46816161531326916133,FAP,,,,
49519632397865916268,FCGR2B,,,,
74162531070476916983,FcRn,,,,
14298893426153916280,FGF2,,,,
56200896022390916811,FGFR4,,,,
1310451640410575030,FGL-1,,,,
57205569033259916223,FIX,,,,
73668506199811916254,FLT3,,,,
30266526516741916336,GCGR,,,,
23250019070616916796,GITR,,,,
03801258456684916217,GLP1R,,,,
82280785182307916413,GM-CSF,,,,
12713442303282916135,GP100,,,,
63536745839153916590,GPA33,,,,
1310451640410575032,GPR77,,,,
22424155011510916836,GPRC5D,,,,
68469461003699916334,GRP,,,,
55819445450384916845,GUCY2C,,,,
18985413768736916312,ICOS,,,,
43924804952673916842,IFNB1,,,,
45161167916037916731,IGF2,,,,
71351630127021916862,IL10,,,,
1310451640410575034,IL10RA,,,,
87453896485585916299,IL12B,,,,
96693969738336916784,IL13,,,,
57822612170208916231,IL15,,,,
44464211505840916206,IL17A,,,,
31828099555148916285,IL17F,,,,
88942008418766916988,IL17RA,,,,
97865375327357916545,IL18,,,,
08446898862424916684,IL1A,,,,
63602013038599916337,IL1B,,,,
1310451640410575036,IL1RAP,,,,
90544556903243916298,IL20,,,,
04681502849961916923,IL21,,,,
47482556424049916274,IL21R,,,,
44976656254571916243,IL22,,,,
33192063159190916307,IL23A,,,,
54604055145346916427,IL23R,,,,
1310451640410575038,IL25,,,,
91020535233631916244,IL2RA,,,,
82849458975896916632,IL2RB,,,,
1310451640410575040,IL31RA,,,,
17049336557942916698,IL33,,,,
83545398982601916199,IL3RA,,,,
42983332049452916554,IL4,,,,
29461854685250916363,IL5,,,,
34841917747295916806,IL6,,,,
21598965952541916934,IL6R,,,,
1310451640410575042,ITGB6,,,,
1310451640410575044,L1CAM,,,,
13590665151072916995,LAG-3,,,,
31645456493265916792,LIGHT,,,,
1310451640410575046,LILRB4,,,,
72405101970909916204,MAGEA3,,,,
1310451640410575048,MCSP,,,,
02011191198432916912,MDK,,,,
88621787568658916316,MERTK,,,,
30751819539021916561,MIF,,,,
41162214347632916358,MSLN,,,,
22899326610400916253,MUC1,,,,
30557258460640916196,MUC16,,,,
46764371590695916252,Nectin-4,,,,
90536468979644916581,NKG2A,,,,
1310451640410574919,NKG2D,,,,
1310451640410575050,NKp46,,,,
38921526126169916746,Notch3,,,,
78680331462859916290,OSM,,,,
39967709229869916242,OX40,,,,
61032525534389916396,PD-1,,,,
38111845132564916747,PD-L1,,,,
1310451640410575052,PD-L2,,,,
23645542959569916341,PGF,,,,
06027288113026916542,PSMA,,,,
1310451640410575054,ROBO4,,,,
32296005354379916552,Sclerostin,,,,
79714985011981916982,SELPLG,,,,
27554931889835916868,Siglec-10,,,,
14970618143896916646,SIGLEC15,,,,
54717611867037916409,SIRPÉ‘,,,,
66147303301116916890,SLC7A11,,,,
19865102961534916994,SPP1,,,,
78580917798396916493,STEAP1,,,,
42005763161498916999,TGM2,,,,
39619912108046916857,TIGIT,,,,
23518951860670916323,TIM3,,,,
26567826078845916755,TLR3,,,,
14431346138653916680,TNC,,,,
57906774692304916129,TNF,,,,
1310451640410575056,TNFR2,,,,
1310451640410574975,TNFRSF1A,,,,
11305322132083916293,TNFSF15,,,,
67418836212031916937,TPBG,,,,
12591927799219916688,TREM1,,,,
56832495721391916472,TROP2,,,,
61504603393555916655,TSLP,,,,
01910423193895916137,TWEAK,,,,
25392407978537916821,ACVR2B,,,,
88162081516013916957,ADORA2A,,,,
95697457469445916103,AFP,,,,
06763113072055916788,AGTR1,,,,
14251656948190916995,ALK1,,,,
32589473692462916938,ANGPT1,,,,
89494209252697916385,APOB,,,,
72592263388112916297,APP,,,,
52026146910305916685,ASGPR,,,,
77078448374145916638,ASPH,,,,
89585389795827916578,B7-H2,,,,
55851758659778916469,B7-H3,,,,
83289583030144916336,B7-H4,,,,
79985221955958916466,BAFFR,,,,
70693036517368916818,BIRC5,,,,
59274403593916916953,C3,,,,
86849750309301916508,C5a,,,,
54723516511603916859,CACNA2D1,,,,
42243263828488916869,CCL11,,,,
85557227442131916926,CCR1,,,,
76724920909085916221,CCR3,,,,
55306105777820916458,CD10,,,,
31149628631465916880,CD106,,,,
57961220151422916431,CD142,,,,
08161605990734916246,CD18,,,,
08658265338578916276,CD19,,,,
28720966962433916962,CD1D,,,,
15704883039394916560,CD205,,,,
15892773237899916950,CD23,,,,
55655070459597916180,CD27,,,,
57885634250413916586,CD45RB,,,,
66828665893569916636,CD46,,,,
31604609394284916839,CD48,,,,
41769138261362916519,CD49b,,,,
56467653341964916397,CD49d,,,,
66894713897960916329,CD54,,,,
17532840296690916853,CD59,,,,
20761358688836916797,CD62L,,,,
97240823256319916544,CD62P,,,,
81011440780449916714,CD7,,,,
74724715854221916843,CD71,,,,
43796496802684916248,CD80,,,,
45565885477456916481,CD86,,,,
88944873770003916120,CDH2,,,,
44317419277371916393,CFB,,,,
1310451640410575058,CGRP,,,,
33090788836563916891,CLDN6,,,,
04350381698587916968,CLEC4C,,,,
92936647445121916406,CLU,,,,
32041683596266916595,c-MYC,,,,
30425329449376916296,CRACM1,,,,
66016016904358916610,CTGF,,,,
78904291006321916257,CTLA4,,,,
00430643659703916543,CX3CL1,,,,
98471047413486916295,CXCR4,,,,
46964100323087916369,DHFR,,,,
25867640997118916818,DKK1,,,,
60761882606562916318,DLL3,,,,
57300513357037916947,DLL4,,,,
83780033797898916476,DR4,,,,
03304598841459916522,EDNRA,,,,
68764075540305916174,EGFL7,,,,
72194324001460916917,EPCAM,,,,
23781858800383916625,EPHA3,,,,
87869652015706916202,EPHB4,,,,
93074488256362916590,FCGR1,,,,
51954379428262916870,FFAR1,,,,
34575248282844916742,FGF21,,,,
09879904612150916739,FGF23,,,,
58515680034618916233,FGFR1,,,,
70582932807103916260,FGFR2,,,,
69101446028366916498,FGFR3,,,,
83699669692262916613,FN1,,,,
28641163374798916312,FOLR1,,,,
99376684457857916944,FXa,,,,
41931322576240916462,FZD10,,,,
68872603873977916174,FZD7,,,,
82657388042681916136,G-CSFR,,,,
45944238912474916762,GNRHR,,,,
30973073884855916687,GPC3,,,,
37972375419378916562,GPR84,,,,
03300307107566916524,HAMP,,,,
06753583376099916169,HBEGF,,,,
25624731982117916277,HDM2,,,,
76321457181224916753,HER2,,,,
91871206869016916419,HER3,,,,
37848628072571916229,HER4,,,,
98513421396890916247,HGF,,,,
63718417158614916477,HSPA5,,,,
29829875523264916973,IFNAR1,,,,
15561814756739916782,IFNG,,,,
63479132982572916645,IGF1,,,,
02307456434040916363,IGF1R,,,,
1310451640410575060,IL11,,,,
19685317757960916760,IL11RA,,,,
01579470033279916559,IL13RA2,,,,
27945173609573916410,IL16RB,,,,
1310451640410575062,IL18BP,,,,
1310451640410575064,IL18RA,,,,
55328561551078916213,IL1R,,,,
64821165656440916792,IL2,,,,
1310451640410575066,IL22RA,,,,
1310451640410575068,IL31,,,,
69953000040696916967,IL36R,,,,
05191137118987916544,IL4RA,,,,
02158733726351916942,IL5R,,,,
43797324723715916953,IL7RA,,,,
77386074600741916234,IL8,,,,
35385874910146916180,ILT7,,,,
47217518607394916824,ITGA9,,,,
26974522861770916621,ITGAL,,,,
1310451640410575070,ITGB7,,,,
09117613835246916645,KIR2DL1,,,,
92867985181034916368,KIR2DL2,,,,
41026192067037916575,KIR2DL3,,,,
91687245352227916358,KIR3DL2,,,,
10760507684901916972,KIT,,,,
82271959624812916450,KLK2,,,,
98155555386054916821,KRAS,,,,
17203746289430916805,LGR5,,,,
1306110757150130294,LILRB2,,,,
55964799397868916279,LINGO-1,,,,
25984551399914916903,LIV-1,,,,
00286026827920916430,LRRC15,,,,
07340745167804916871,LTA,,,,
46139033657595916324,LTBR,,,,
66836462839454916145,MADCAM1,,,,
09238649229821916117,M-CSF,,,,
77042272957146916606,MDR-1,,,,
89575321706743916515,MET,,,,
83850204050873916825,MMP-14,,,,
84170532869546916423,MMP-2,,,,
21637559468862916238,MMP-9,,,,
72813100630636916815,MSP1R,,,,
44341300980003916941,MUC18,,,,
18748689748358916559,NCL,,,,
60667102785278916145,NGF,,,,
55286018400206916835,Nogo-A,,,,
67906168731846916701,Notch1,,,,
23505916659437916474,Notch2,,,,
16758137466226916847,NRP1,,,,
04169750574622916879,OX40L,,,,
87808894260546916465,P2X7,,,,
12733715526825916728,PCSK9,,,,
81409915318183916744,PDGFRa,,,,
44891215618383916429,PDGFRb,,,,
61057443668665916268,PRLR,,,,
79955849275690916310,PSCA,,,,
95100625238137916657,PTK7,,,,
80171082550426916293,RAGE,,,,
97242359437971916719,RANKL,,,,
43535222652793916898,RGMa,,,,
05020145115581916112,ROBO1,,,,
80778830314379916459,ROR1,,,,
35562683419243916514,S1P1,,,,
24721907696695916581,SEMA4D,,,,
07505985549278916829,SIGLEC8,,,,
22836338213386916922,SLAMF7,,,,
01123161100982916104,SLC34A2,,,,
59352411958432916673,SLC7A5,,,,
74133949430368916666,SSTR2,,,,
67568222935333916663,ST2,,,,
36393982546978916696,STAT3,,,,
12222315259877916982,TACE,,,,
89476637824583916418,TEK,,,,
94712087009016916949,TEM1,,,,
88946266953710916657,TFPI,,,,
83231254241026916413,TGFB1,,,,
05007770851002916908,TGFB2,,,,
79162459189410916201,TGFBR2,,,,
59411491036480916669,TLR2,,,,
33327892025973916260,TLR4,,,,
1310451640410575147,TRB,,,,
01784829796133916853,TYRP1,,,,
44773610624882916847,UPA,,,,
1310451640410575072,UPAR,,,,
05992419414198916133,VAP-1,,,,
93889454933402916976,VEGFA,,,,
78637376934159916408,VEGFR,,,,
04982022097976916644,VEGFR-1,,,,
71182081805141916782,VEGFR-2,,,,
11338237401382916871,VEGFR-3,,,,
35344266512392916242,VISTA,,,,
83923534036833916351,WT1,,,,